osm_id,name,address,city,state,lat,lng,access,holes
way/293247441,"""The Old Course"" at Sugar Loaf",4512 South Townline Road,Cedar,MI,44.913006,-85.811667,,
relation/6396830,12 Oaks,,,,35.668939,-78.874653,,
way/267296595,12 Shores,,,,35.341230,-103.518010,,
way/406000076,16 holes,,,,28.282826,-81.636173,,
way/48208604,1757 Golf Club,,,,39.013376,-77.447029,,
way/134402125,18 Mile Creek Golf Course,,,,42.710821,-78.810762,,
way/91986712,1912 Club,888 Plymouth Road,Plymouth Meeting,PA,40.121044,-75.312638,,
way/228374678,27 Pines Golf Course,,,,44.776074,-87.343468,,
way/218886035,3 Lakes Golf Course,6700 Saltsburg Road,Penn Hills,,40.478082,-79.804741,,
relation/4607221,3's Greenville Golf & Gril,,,,34.860800,-82.348295,,
way/297465689,3/30 Golf & Country Club,101 Country Club Lane,Lowden,,41.857379,-90.915267,,
way/297224920,5 by 80 Golf and Country Club,1086 State Highway 25,Menlo,,41.493318,-94.447039,,
way/406000077,5 holes,,,,28.279868,-81.639804,,
relation/6390097,7 Lakes Golf Club,174 Devonshire Drive,Seven Lakes,,35.266194,-79.568196,,
way/242917004,9-Hole Short/Executive Course,,,,44.289425,-96.765691,,
way/361447793,93 Golf Ranch,406 East 200 South,Jerome,ID,42.698252,-114.436822,,
way/258025266,A. J. Jolly Golf Course,11541 Alexandria Pike,Alexandria,KY,38.884486,-84.378879,,
way/449108205,A. L. Gustin Golf Course,18 Stadium Boulevard,Columbia,MO,38.932832,-92.346796,,
relation/1249091,A.C. Read Golf Course,,,,30.363356,-87.281941,,
way/125704238,Abacoa Golf Club,105 Barbados Drive,Jupiter,FL,26.888433,-80.123773,,
relation/6292488,Abbey Springs Golf Course,1 Country Club Drive,Fontana,WI,42.541240,-88.551405,,
relation/19648702,Abenakee Golf Club,,,,43.447214,-70.343513,private,
way/320111052,Abenaqui Country Club,731 Central Road,Rye Beach,,42.977524,-70.775870,,
way/1418369168,Aberdeen Country Club,,,,33.830391,-88.571384,,
relation/4063768,Aberdeen Golf & Country Club,8251 Aberdeen Drive,Boynton Beach,,26.551053,-80.157823,,
way/365165191,Aberdeen Golf Club,4111 Crescent Road,Eureka,,38.533680,-90.618512,,
way/299872249,Abilene Country Club North Course,4039 South Treadaway Boulevard,Abilene,TX,32.405944,-99.738237,,
relation/3987829,Abilene Country Club South Course (Fairway),34 Fairway Oaks Boulevard,Abilene,TX,32.377415,-99.760399,,
relation/4004095,Abita Springs Golf Club,73433 Oliver Street,Abita Springs,,30.500037,-89.952178,,
node/2838921541,Academy Course,,,,39.427874,-94.549249,,
way/31387250,Achasta Golf Club,639 Birch River Drive,Dahlonega,GA,34.503391,-83.962317,,
way/195521846,Ackerman-Allen Golf Course,,West Lafayette,IN,40.435673,-86.928388,,
way/533470060,Ackia Golf Course,,,,33.972401,-88.500243,,
way/533470065,Ackia Golf Course,,,,33.973872,-88.507253,,
way/533470072,Ackia Golf Course,,,,33.976613,-88.500975,,
way/307593523,Ackley Country Club,,,,42.546605,-93.048468,,
way/29871639,Acoaxet Club,152 Howland Road,Westport,,41.510191,-71.107408,,
way/204647734,Acorn Park Golf Course,1426 Highway 105,Saint Ansgar,,43.385129,-92.941985,,
way/1465335554,Acorns Golf Links,3933 Ahne Road,Warterloo,IL,38.296818,-90.200841,,
way/29692593,Acushnet River Valley Golf Course,685 Main Street,Acushnet,,41.715420,-70.895168,,
relation/2727364,Adam's Rib Ranch,,,,39.581728,-106.766926,,
way/134938071,Adams Country Club,10700 US Route 11,Adams,NY,43.822589,-76.017162,,
way/424862144,Adams County Country Club,,,,38.795257,-83.530707,,
relation/6876811,Adams Golf Course,,,,36.753320,-95.906294,,
way/371984147,Adams Pointe Golf Course,1601 R D Mize Road,Blue Springs,MO,39.019311,-94.238710,,
way/305297870,Adams Springs Golf Course,,,,38.849401,-122.725077,,
relation/4065614,Addison Reserve Country Club,7201 Addison Reserve Boulevard,Delray Beach,FL,26.432730,-80.161209,,
way/137694292,Adirondack Golf And Country Club,,,,44.609583,-73.483158,,
relation/13725984,Adobe Creek Golf Club,1901 Frates Road,Petaluma,CA,38.247145,-122.587493,,
way/1091132417,Adobe Creek National Golf Course,876 18 1/2 Road,Fruita,CO,39.134906,-108.709486,,
way/1019007685,Adobe Wells Golf Course,,,,26.237639,-98.270286,,
way/1019007686,Adobe Wells Golf Course,,,,26.233857,-98.267987,,
way/242307204,Adrian Country Club,,,,43.626003,-95.939126,,
way/945852571,Adventures Erie at Lake Pleasant,9188 Lake Pleasant Road,Erie,PA,42.061418,-79.985162,,
way/404167826,Aeropines Golf Course,,,,36.798770,-76.028097,,
way/186853812,Aetna Springs Golf Course,,,,38.657712,-122.481564,,
way/651851559,Agate Beach Golf Course,,,,44.666992,-124.053334,,
relation/4124326,Agawam Hunt,,,,41.832299,-71.355405,,
way/29855930,Agawam Municipal Golf Course,128 Southwick Street,Feeding Hills,,42.070768,-72.685416,municipal,
way/152930041,Aguila Golf Course,8440 South 35th Avenue,Phoenix,AZ,33.366879,-112.139443,,
way/44367692,Ahwanhee Estates and Country Club,,,,37.369398,-119.699878,,
relation/2668534,Ahwatukee Country Club,12432 South 48th Street,Phoenix,AZ,33.338747,-111.983044,,
